from,to,date_from,date_to,place_from
"Gerald Fitzgerald, earl of Desmond",Sir William Fitzwilliam,15731217,15731217,NA
Robert Bowes,Queen Elizabeth I,15970622,15970622,Edinburgh
Justices of Gloucestershire,Privy Council,15860531,15860531,Sudeley Castle
Mr. Surveyor of Calais,"William Paulet, Marquess of Winchester",15650717,15650717,Berwick
Cardinal of Ravenna,"Holy Roman Emperor Charles V, (King Charles I of Spain)",15311220,15311220,Rome
Deputy Governor of Ostend and others,"Sir William Cecil, Lord Burghley",15960428,15960428,Ostend
Rev. Rich. Gibbon,Jane Dormer Duchess of Feria,16020607,16020617,Saint Omer
Francis Knollys,"Sir William Cecil, Lord Burghley",15680904,15680904,Berwick
"James Sherlock, mayor of Waterford",Sir William Fitzwilliam,15740716,15740716,Waterford
Sir Thomas Bodley,"Sir William Cecil, Lord Burghley",15940624,15940624,Hague
Queen Elizabeth I,Sir Richard Leveson,16020216,16020216,NA
Robert Bowes,"Sir William Cecil, Lord Burghley",15801001,15801001,Edinburgh
Edward Grimstone,"Sir William Cecil, Lord Burghley",15910116,15910116,Auffay
Hugh Hunteley,"Richard Rich, Baron Rich",15400204,15400204,Monmouth
Francois Van der Delft,Mary Queen Regent of Flanders,15450426,15450426,London
Lord Cobham,Sir Francis Walsingham,15830503,15830503,Paris
Bishop Tunstall,Cardinal Thomas Wolsey,15250410,15250410,Hampton
Nathaniel Fuller,Queen Elizabeth I,15910101,16011231,NA
Queen Elizabeth I,"George Talbot, 6th Earl of Shrewsbury",15860101,15871231,NA
Thomas Spring,"Sir William Cecil, Lord Burghley",15830627,15830627,Greenwich
Sir Thomas Smith,"Robert Dudley, Earl of Leicester",15660123,15660123,NA
Andrea de Loo,"Sir William Cecil, Lord Burghley",15870715,15870715,Bruges
Privy Council,Queen Elizabeth I,15591224,15591224,NA
"Jean, Cardinal of Lorraine",Mary of Guise,15380101,15381231,NA
"William FitzWilliam, 1st Earl of Southampton",Henry VIII,15220829,15220829,Calais
Queen Elizabeth I,Lord General Sir John Norreys,15940812,15940813,NA
Edward Barton,Sir Thomas Heneage,15950727,15950727,Constantinople
Sir Hugh Paulet,Privy Council,15470311,15470311,Boulogne
Cardinal Thomas Wolsey,Sir John Daunce,15140101,15141231,NA
"John Best, Bishop of Carlisle",Lord Henry Scrope,15690101,15691231,NA
Cardinal Thomas Wolsey,Sir Richard Jerningham,15180129,15180129,Westminster
Queen Elizabeth I,Nicolas Bacon Lorde,15700101,15701231,NA
John Grygge,Henry VIII,15180615,15180615,Rome
"John Dudley, Duke of Northumberland","Charles Brandon, Duke of Suffolk",15430207,15430207,Alnwick
Sir Robert Gardener,"Sir William Cecil, Lord Burghley",15971204,15971204,Dublin
Theodoric Weier,"Sir William Cecil, Lord Burghley",15820101,15821231,NA
Sir Barnaby Fitzpatrick,Sir Francis Walsingham,15790523,15790523,Dublin
Sir Horatio Palavicino,Sir Francis Walsingham,15870212,15870212,NA
Estates General,Queen Elizabeth I,15921121,15921201,Hague
Sir Edward Carne,"Thomas Cromwell, Earl of Essex",15331028,15331028,Paris
Queen Mary I,"Thomas Cromwell, Earl of Essex",15380827,15380827,Portgore
John Knox,"Robert Dudley, Earl of Leicester",15631006,15631006,Edinburgh
Charles de Marillac,"Francis I, King of France",15401231,15401231,London
Privy Council,"William Paget, Lord Paget",15430129,15430129,NA
Sir William Penizon,"Thomas Cromwell, Earl of Essex",15380830,15380830,Gravesend
"Henry Bourchier, Earl of Essex","Thomas Cromwell, Earl of Essex",15350218,15350218,Stansted
Henry Ughtred,"Francis Russell, Earl of Bedford",15830619,15830619,NA
Privy Council,Sir Thomas Chamberlain,15521123,15521123,NA
Sir William Drury,Sir Francis Walsingham,15790114,15790114,Trim
"Colin Campbell, 6th Earl of_Argyll","Patrick Gray, Lord Gray",15780802,15780802,Edinburgh
Anthony Pykeryng,"Arthur Plantagenet, Lord Lisle",15360117,15360117,London
George Harvy,Privy Council,16020227,16020227,The Tower
"Fellows of St. John's, Cambridge","Sir William Cecil, Lord Burghley",15950101,15951231,NA
Sir Francis Cherry,"Sir Robert Cecil, Earl of Salisbury",15951120,15951120,London
"Robert Radcliffe, Earl of Sussex","Sir Robert Cecil, Earl of Salisbury",15940908,15940908,Edinburgh
Thomas Bothe,Anthony Bourchier,15451111,15471111,NA
Sir Nathaniel Bacon,Sir Michael Hicks (Hickes),15930101,15931231,NA
"Sir Thomas Parry, ambassador",Princess Catherine de Bourbon,16020913,16020913,NA
Queen Elizabeth I,Marshal (Aumont).,15950201,15950228,NA
Adam Loftus,"Sir William Cecil, Lord Burghley",15830726,15830726,NA
John Savile,"Sir Robert Cecil, Earl of Salisbury",16000816,16000816,York
Abbot of Maroilles,Estates General,15780930,15780930,NA
"Gustavus I., King of Sweden",Queen Elizabeth I,15591125,15591125,Stockholm
Andres de Prada,Thomas Honyman,16030511,16030521,NA
Sir William Drury,"Sir William Cecil, Lord Burghley",15670709,15670709,Berwick
Henry VIII,Leo. X,15151229,15151229,Well Hall
Wm. Panizon,"Thomas Cromwell, Earl of Essex",15341022,15341022,Paris
James Bettes,Cardinal Thomas Wolsey,15230430,15230430,Southampton
"Marmaduke Middleton, Bishop of Waterford and Lismore",Sir Francis Walsingham,15800819,15800819,NA
Richard Tomson,Sir Francis Walsingham,15890904,15890904,Calais
Manuel d'Andrada,"Sir William Cecil, Lord Burghley",15930702,15930712,Calais
Clerk,Cardinal Thomas Wolsey,15260614,15260614,Rome
"John Longland, Bishop of Lincoln","Thomas Cromwell, Earl of Essex",15350927,15350927,Wooburn
William Pitt,"Sir William Cecil, Lord Burghley",15820901,15820930,NA
"Henry Manners, Earl of Rutland","Sir William Cecil, Lord Burghley",15610225,15610225,York
"Walter Devereux, Viscount Hereford",John Braddocke,15460316,15460316,Chartley Manor
Sir H. Carye,"Sir Robert Cecil, Earl of Salisbury",16020109,16020109,Aldenham
Privy Council,Henry VIII,15440924,15440924,Woking
Sir Richard Bingham,Sir Francis Walsingham,15850129,15850129,Roscommon
Ro. Poolye,Mr. Jo. Breadgate,16010603,16010603,NA
"Edward Courtenay, Earl of Devon",Sir William Cordell,15551114,15551114,NA
Thos. Wilson,"Thomas Sackville, Baron Buckhurst, Earl of Dorset",15820101,16161231,NA
"Henry Carey, Lord Hunsdon",Sir Francis Walsingham,15800301,15800331,Berwick
Sir Henry Killigrew,Queen Elizabeth I,15721202,15721202,Edinburgh
Henry VIII,"Christian III, King of Denmark",15381230,15381230,Greenwich
Robert Bowes,Sir Francis Walsingham,15800423,15800423,Berwick
Gerard Prounincq,William Davison,15850905,15850915,Utrecht
"Edmund Sheffield, Earl of Mulgrave","Sir Robert Cecil, Earl of Salisbury",16010620,16010620,NA
Sir Nicholas Parker,John Reskymer (alias Greber),15990813,15990813,NA
Henry Lello,"Sir Robert Cecil, Earl of Salisbury",16011024,16011024,NA
"William Parr, Baron Parr of Horton","Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15230806,15230806,Kendall
Privy Council,"William Paget, Lord Paget",15420724,15420724,Guildford
Agents of Kilmallock,Privy Council,15831013,15831013,NA
Officers at Arms,"Sir William Cecil, Lord Burghley",15500101,15981231,NA
Ralph Lane,"Sir William Cecil, Lord Burghley",15950803,15950803,Dublin
John Morley,Ambassador Archibald Douglas,15870827,15870827,NA
Sir Edward Carne,Henry VIII,15320429,15320429,Rome
Council of Ireland,"Thomas Cromwell, Earl of Essex",15380610,15380610,NA
Lord Claud Hamilton,"Sir William Cecil, Lord Burghley",15860920,15860920,Paisley
"William Grey, Baron Grey of Wilton",Henry VIII,15460627,15460627,Boulogne
Edward Barton,"Sir Robert Cecil, Earl of Salisbury",15970417,15970417,NA
Richard Barrey,Sir Francis Walsingham,15880806,15880806,Dover
Jane Gyldford,"Thomas Cromwell, Earl of Essex",15350906,15350906,Hill
"Robert Dudley, Earl of Leicester",Sir Francis Walsingham,15871122,15871122,Flushing
T. Lord Mounteagle,Henry VIII,15361203,15361203,Horneby Castle
Don Cristofero,Sir Francis Walsingham,15890312,15890322,NA
"Sir William Cecil, Lord Burghley",Thomas Fanshawe,15951205,15951205,NA
George Fremyn (Fremin),Sir Francis Walsingham,15850116,15850126,NA
Thomas Chapman,"Sir William Cecil, Lord Burghley",15880304,15880304,Dublin
Sir Walter Bucler,Henry VIII,15450611,15450611,Worms
Sir Richard Bingham,Sir William Fitzwilliam,15900101,15901231,NA
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15900126,15900126,Dublin Castle
Sir Edward Carne,Henry VIII,15450716,15450716,Bourbourg
Sir William Eure,"Thomas Cromwell, Earl of Essex",15400126,15400126,Berwick Castle
"Sir William Cecil, Lord Burghley","Edward Fiennes de Clinton, Earl of Lincoln",15750916,15750916,NA
"Henry Herbert, of Wonastow",Privy Council,15710929,15710929,NA
Sir William Stanley,"Sir William Cecil, Lord Burghley",15831225,15831225,NA
Thomas Randolph,Sir Francis Walsingham,15830209,15830209,St. Peter's Hill
Lord General Sir John Norreys,"Sir William Cecil, Lord Burghley",15940702,15940702,La Roche-Derrien
John Plunket,Lord Thomas Fitzmaurice of Kerry,15790101,15791231,NA
Sir Edward Moore,Sir William Russell,15970322,15970322,Mellifont
James Henrison,"Sir William Cecil, Lord Burghley",15480709,15480709,NA
Guillaume le Gras,"Honor Plantagenet, Lady Lisle",15370315,15370315,Paris
Richard Thornden,"Thomas Cromwell, Earl of Essex",15381104,15381104,Canterbury
Edmund Wiseman,"Sir Robert Cecil, Earl of Salisbury",16010210,16010210,NA
"Charles Blount, Baron Mountjoy and Earl of Devonshire","Sir Robert Cecil, Earl of Salisbury",16020331,16020331,Dublin
Sir Anthony Thorold,"Sir William Cecil, Lord Burghley",15920101,15921231,NA
"James Hamilton, 3rd Earl of Arran",Sir Ralph Sadler,15591211,15591211,St. Andrews
Sir Nicholas Throckmorton,"Sir William Cecil, Lord Burghley",15600513,15600513,Amboise
Thomas Fenner,Privy Council,15890922,15890922,NA
Sir George Speke,"Sir William Cecil, Lord Burghley",15690825,15690825,NA
Rice ap Hugh,Sir William Russell,15961025,15961025,Ardee
